1;PALAVAS KAYAK DE MER;;34192;Palavas-les-Flots;43.5329689, 3.91981771
2;CANOË LE MOULIN;"À 30 minutes de Montpellier, au pied des Cévennes, les Gorges de l'Hérault dévoilent un site splendide où l'on peut encore découvrir la nature à l'état brut. 
Nous proposons la location de canoës et kayaks de fin Mars à fin Septembre avec 5 parcours au choix : 3, 6, 7,9 et 13 km. 
Nos bases se trouvent à une demi-heure de Montpellier et à 45 minutes de Nîmes. La base principale se situe sur la D986 entre le village de Laroque et de St-Bauzille-de-Putois à proximité de la Grotte des Demoiselles.
Vous trouverez des coins baignades et pique-niques tout au long de la descente de l’Hérault. Les navettes et les parkings sont gratuits.
La sortie idéale à faire en famille ou entre amis !
La date d’ouverture peut-être reportée d’une semaine en fonction des conditions météorologique. Réservation conseillée.";34243;Saint-Bauzille-de-Putois;43.9098806, 3.73657839
3;CENTRE PERMANENT D'INITIATIVES POUR L'ENVIRONNEMENT (CPIE) DU HAUT LANGUEDOC;"Partez à la découverte du Haut Languedoc, accompagné d'un guide nature. Voici quelques idées de sorties :

- Le guetteurs de lune : à la tombée de la nuit, les noctambules s'éveillent. Rencontre de mouflons, observation du bal des chauves-souris, concert de grillons et chouettes...
- Cuisine sauvage : conviviale, ludique, cette balade suivie de son atelier cuisine vous feront découvrir de nouvelles saveurs en cuisinant vous-même les plantes sauvages et comestibles qui vous entourent.
- Balade naturaliste autour du Lac de Vesoles et des bords de l'Arn.";34293;La Salvetat-sur-Agout;43.603601, 2.6854079
4;LATINA CUP;Découverte et initiation à la pratique de la navigation en voile latine. Découverte de la sauvegarde du patrimoine maritime de la Méditerranée.;34192;Palavas-les-Flots;43.5390639, 3.90085585
5;CERCLE NAUTIQUE DE PALAVAS;Le Cercle Nautique de Palavas-les-Flots (CNP) compte environ 300 membres dont l’activité est tournée vers la compétition en voiliers habitables. Un club dans lequel vous pourrez partager votre passion de la mer et de la voile.;34192;Palavas-les-Flots;43.5260345, 3.92989128
6;PONEY CLUB DE LACOSTE;"A deux pas de Montpellier, en pleine campagne, environnement idéal pour faire du cheval et du poney, et découvrir la nature aux portes de la ville, dans une ambiance chaleureuse et familiale.
Carrière, rond de longe, petit cross, sauts d'obstacles, dressage, éthologie, TREC, balades, jeux, voltige... Tout est mis en œuvre pour être à l'écoute de vos envies !";34116;Clermont-l'Hérault;43.646596, 3.424548
7;ECURIES SAINT BRUNO;Situé à quelques minutes au nord de Béziers, dans un cadre authentique et de campagne, venez découvrir nos écuries. Nous vous proposons de la pension box ou extérieur, de l'enseignement du baby poney au galop 7 et plus, de la compétition dressage et obstacles, mais aussi des ateliers et stages ludiques ou de perfectionnement, balades à cheval et poney, randonnées, cours adultes débutants ou non.;34300;Servian;43.390719, 3.279848
8;ECOLE D'EQUITATION DU SOMAIL;"Des chevaux, la nature, de l’espace et du temps…
Tous les ingrédients pour appréhender le cheval dans son milieu naturel, créer un lien avec lui et pratiquer une équitation naturelle quel que soit votre âge, votre expérience et vos ambitions.
Et l’été: parcours poney aventure, les balades du vendredi, séance initiation poney, camps ados avec hébergement (semaine), randonnées itinérantes de 3 à 6 jours.
Activités proposées toute l’année, sur réservation (au plus tard, la veille).";34293;Le Soulié;43.545717, 2.739407
9;SER'ANE;"Organisation de randonnée avec ânes de bat.
Les plus beaux sites de gîte en gîte ou en bivouac.";34264;Saint-Jean-de-Buèges;43.8162905, 3.6079359
10;CANOE KAYAK MEZE BASSIN DE THAU;"Notre club de canoë kayak est situé au bord de l'Etang de Thau, avec un accès direct à l'eau, près du village club Thalassa à Mèze, petite ville touristique.
Location et pratique libre de canoë kayak, sortie en groupe à la journée ou formule randonnée sur plusieurs jours, découverte du littoral avec bivouac.";34157;Mèze;43.4189028, 3.5988611
11;ASSOCIATION  TAILL'AVENTURE;;34144;Lunas;43.709084, 3.168381
